"tinh","huyen","xa","diaban","hoso","m4b31ma","m4b31c3","m4b31c4","m4b31c5","m4b32c7","m4b32c8","m4b32c9","m4b32c10","m4b32c11","m4b32c12","m4b32c13","m4b32c14","m4b32c15","m4b32c16","m4b32c17"
"605","25","15","010",13,"Cµy xíi, lµm ®Êt",4,1500,6000,0,100,1500,300,500,0,0,0,0,0,2400
"605","31","11","007",13,"Cµy xíi, lµm ®Êt",1,3000,3000,0,60,400,90,150,0,0,0,0,0,700
"606","11","07","009",15,"T­íi tiªu n­íc",3,7500,22500,0,0,12000,0,2000,0,3000,0,0,0,17000
"607","03","11","021",19,"T­íi tiªu n­íc",3,4000,12000,500,100,5500,500,600,0,0,0,0,200,7400
"607","03","11","021",19,"Tuèt lóa, s¬ chÕ SP",6,1500,9000,0,0,3500,100,400,0,0,0,0,0,4000
"607","09","01","028",15,"Cµy xíi, lµm ®Êt",3,1500,4500,0,100,950,600,800,0,0,0,0,0,2450
"607","09","07","006",14,"T­íi tiªu n­íc",3,1000,3000,0,190,1000,160,150,0,200,0,0,0,1700
"607","09","17","001",13,"Cµy xíi, lµm ®Êt",2,1600,3200,0,50,400,120,100,0,0,0,0,0,670
"607","13","21","021",14,"T­íi tiªu n­íc",1,500,500,0,0,100,0,0,0,0,0,0,0,100
"607","21","13","004",15,"Cµy xíi, lµm ®Êt",6,6000,36000,400,0,5400,200,1300,0,0,300,0,0,7600
"705","05","11","010",15,"Cµy xíi, lµm ®Êt",12,900,10800,600,0,0,120,1500,0,0,0,0,0,2220
"705","07","09","021",14,"Cµy xíi, lµm ®Êt",2,1650,3300,0,20,0,30,500,0,0,0,0,0,550
"705","07","23","004",13,"Cµy xíi, lµm ®Êt",2,1000,2000,40,10,0,0,50,0,0,0,0,0,100
"707","07","19","017",14,"DV kh¸c",8,3000,24000,2000,200,3000,500,3000,0,0,5000,0,300,14000
"709","09","02","032",13,"Cµy xíi, lµm ®Êt",2,750,1500,0,25,0,0,150,0,0,0,0,0,175
"709","09","05","002",13,"Cµy xíi, lµm ®Êt",8,7000,56000,0,500,17200,4000,1800,0,0,1596,400,1500,26996
"709","15","07","015",14,"DV kh¸c",10,250,2500,0,50,0,150,0,0,0,0,0,0,200
"709","15","11","003",14,"Cµy xíi, lµm ®Êt",10,8000,80000,0,100,33000,400,6000,0,0,0,0,200,39700
"711","03","33","013",14,"Tuèt lóa, s¬ chÕ SP",9,52360,471240,315000,6750,6750,27000,4995,0,43200,18000,4500,11700,437895
"713","15","13","002",14,"DV kh¸c",12,200,2400,0,50,100,0,0,0,0,0,0,0,150
"715","05","01","006",15,"Cµy xíi, lµm ®Êt",3,4000,12000,150,100,4500,100,500,0,0,0,0,0,5350
"715","13","03","005",14,"Cµy xíi, lµm ®Êt",6,800,4800,0,50,0,50,800,0,0,0,0,0,900
